"filename", "language", "PHP", "comment", "blank", "total"
"c:\xampp\htdocs\sisarchivo\resources\views\archivo\create.blade.php", "PHP", 19, 0, 7, 26
"c:\xampp\htdocs\sisarchivo\resources\views\archivo\edit.blade.php", "PHP", 21, 0, 6, 27
"c:\xampp\htdocs\sisarchivo\resources\views\archivo\form.blade.php", "PHP", 106, 0, 7, 113
"c:\xampp\htdocs\sisarchivo\resources\views\archivo\index.blade.php", "PHP", 178, 0, 4, 182
"c:\xampp\htdocs\sisarchivo\resources\views\archivo\show.blade.php", "PHP", 65, 0, 6, 71
"Total", "-", 389, 0, 30, 419
